"Nombre","Fecha","Tipo","Horario"
"THUNDERBOLTS","04/05","DBOX + 2D CASTELLANO"," 22:30"
"THUNDERBOLTS","04/05","3D CASTELLANO"," 14:30"
"THUNDERBOLTS","04/05","3D CASTELLANO"," 15:50"
"THUNDERBOLTS","04/05","3D CASTELLANO"," 17:20"
"THUNDERBOLTS","04/05","3D CASTELLANO"," 18:40"
"THUNDERBOLTS","04/05","3D CASTELLANO"," 20:10"
"THUNDERBOLTS","04/05","3D CASTELLANO"," 21:00"
"THUNDERBOLTS","04/05","3D CASTELLANO"," 21:30"
"THUNDERBOLTS","04/05","3D CASTELLANO"," 23:00"
"THUNDERBOLTS","04/05",""," 13:30"
"THUNDERBOLTS","04/05",""," 14:00"
"THUNDERBOLTS","04/05",""," 15:20"
"THUNDERBOLTS","04/05",""," 16:20"
"THUNDERBOLTS","04/05",""," 16:50"
"THUNDERBOLTS","04/05",""," 18:10"
"THUNDERBOLTS","04/05",""," 19:10"
"THUNDERBOLTS","04/05",""," 19:40"
"THUNDERBOLTS","04/05",""," 22:30"
"THUNDERBOLTS","04/05",""," 22:00"
"THUNDERBOLTS","05/05","DBOX + 3D CASTELLANO"," 14:30"
"THUNDERBOLTS","05/05","DBOX + 3D CASTELLANO"," 17:20"
"THUNDERBOLTS","05/05","DBOX + 3D CASTELLANO"," 20:10"
"THUNDERBOLTS","05/05","DBOX + 3D CASTELLANO"," 23:00"
"THUNDERBOLTS","05/05","DBOX + 2D CASTELLANO"," 14:00"
"THUNDERBOLTS","05/05","DBOX + 2D CASTELLANO"," 16:50"
"THUNDERBOLTS","05/05","DBOX + 2D CASTELLANO"," 19:40"
"THUNDERBOLTS","05/05","DBOX + 2D CASTELLANO"," 22:30"
"THUNDERBOLTS","05/05","3D CASTELLANO"," 14:30"
"THUNDERBOLTS","05/05","3D CASTELLANO"," 15:50"
"THUNDERBOLTS","05/05","3D CASTELLANO"," 17:20"
"THUNDERBOLTS","05/05","3D CASTELLANO"," 18:40"
